"","Compound","Che.type","Cell.type","Addition.Type","Time","Compartment_new","Compartment","X..Recovery","Volume..uL.","Used.Volume..uL.","Input.Amount..pmol.","Input.Amount.umol","Estimated.amount..pmol.","Estimated.Concentration.uM","seach","Pred_conc","ratio","abs.dev"
"531","8_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",94.47400624,235,235,375,0.000375,354.2775234,1.507563929,"AtoB_4_Blood",0.3357995,-0.652195692531617,0.652195692531617
"532","8_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",66.82510326,235,235,375,0.000375,250.5941372,1.066358031,"AtoB_4_Blood",0.3357995,-0.501822998927835,0.501822998927835
"533","8_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",54.64529478,235,235,1175,0.001175,642.0822136,2.732264739,"BtoA_4_Blood",1.387125,-0.294407178366275,0.294407178366275
"534","8_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",150.7140374,235,235,1175,0.001175,1770.889939,7.535701869,"BtoA_4_Blood",1.387125,-0.735008109317961,0.735008109317961
"535","8_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",32.12729519,235,235,1175,0.001175,377.4957185,1.60636476,"BtoA_4_Blood",1.387125,-0.0637285690902546,0.0637285690902546
"536","8_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",89.65921323,235,235,1175,0.001175,1053.495755,4.482960661,"BtoA_4_Blood",1.387125,-0.509449328806488,0.509449328806488
"537","8_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",11.3308634,75,75,1175,0.001175,133.1376449,1.775168599,"BtoA_4_Lumen",0.678428,-0.417735843277443,0.417735843277443
"538","8_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",16.07412827,75,75,1175,0.001175,188.8710071,2.518280095,"BtoA_4_Lumen",0.678428,-0.569600268971845,0.569600268971845
"539","8_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",16.53357964,75,75,1175,0.001175,194.2695607,2.59026081,"BtoA_4_Lumen",0.678428,-0.581839731061826,0.581839731061826
"540","8_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",28.91558813,75,75,1175,0.001175,339.7581605,4.530108807,"BtoA_4_Lumen",0.678428,-0.824604869526949,0.824604869526949
"289","BP4","Small Molecules","OAT1","AtoB",24,"Lumen","Lumen",76.26901219,75,75,750,0.00075,572.0175915,7.626901219,"AtoB_24_Lumen",8.024995,0.0220966488959032,0.0220966488959032
"290","BP4","Small Molecules","OAT1","AtoB",24,"Lumen","Lumen",82.09800958,75,75,750,0.00075,615.7350718,8.209800958,"AtoB_24_Lumen",8.024995,-0.00988785753361871,0.00988785753361871
"291","BP4","Small Molecules","OAT1","AtoB",24,"Blood","Blood",21.54440776,235,235,750,0.00075,161.5830582,0.687587482,"AtoB_24_Blood",0.626787,-0.0402079811399656,0.0402079811399656
"292","BP4","Small Molecules","OAT1","AtoB",24,"Blood","Blood",19.96927169,235,235,750,0.00075,149.7695377,0.637317182,"AtoB_24_Blood",0.626787,-0.00723564684920865,0.00723564684920865
"293","BP4","Small Molecules","OAT1","AtoB",24,"Cell","Cell",0.04890595,30,0.025307623,750,0.00075,0.366794626,14.49344423,"AtoB_24_Cell",19.10005,0.119862900428912,0.119862900428912
"294","BP4","Small Molecules","OAT1","AtoB",24,"Cell","Cell",0.070392832,30,0.025307623,750,0.00075,0.527946237,20.86115446,"AtoB_24_Cell",19.10005,-0.0383038345466788,0.0383038345466788
"295","BP4","Small Molecules","OAT1","BtoA",24,"Blood","Blood",87.61030676,235,235,2350,0.00235,2058.842209,8.761030676,"BtoA_24_Blood",8.97372,0.0104173134739216,0.0104173134739216
"296","BP4","Small Molecules","OAT1","BtoA",24,"Blood","Blood",91.83570704,235,235,2350,0.00235,2158.139116,9.183570704,"BtoA_24_Blood",8.97372,-0.0100390595047287,0.0100390595047287
"297","BP4","Small Molecules","OAT1","BtoA",24,"Lumen","Lumen",10.67520994,75,75,2350,0.00235,250.8674336,3.344899114,"BtoA_24_Lumen",3.19911,-0.0193538501139617,0.0193538501139617
